model_name,task,mae,rmse,r2,mape,train_time_s
Ridge Regression,regression,286.18929131167323,400.94378416213254,0.8516338665204942,130.9693045224783,0.15777897834777832
Random Forest Regressor,regression,251.01838366651876,398.1808724823092,0.8536716092018494,74.32193212080837,18.975878953933716
MLP Regressor,regression,36.40040588378906,54.479183596237014,0.9972607493400574,13.346247015066801,9.191418170928955
